"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3447694","BCAT1",0.358400000000001,7.1064,1.88874908317072,0.0646173325173683,0.12309169513694,-5.24572530941039
"2342391","TYW3",0.198,8.3754,1.8884176370069,0.0646627180370559,0.1231548286542,-5.24631651472378
"3674960","LUC7L",0.1212,8.4006,1.88841275564229,0.0646633866534109,0.1231548286542,-5.24632522101133
"2562435","SFTPB",-0.0772000000000004,6.1194,-1.88767797356638,0.064764099146929,0.123334327176482,-5.247635538275
"2664891","TBC1D5",-0.168799999999998,7.7916,-1.88752488929237,0.0647850983213443,0.123362001954279,-5.24790847364456
"3247784","TFAM",0.197999999999999,7.8826,1.88743242981604,0.0647977841542406,0.123373842751402,-5.24807331119153
"3406493","DERA",0.175199999999998,7.49,1.88718534218082,0.0648316959821284,0.123425996078473,-5.24851378674151
"3602569","TMEM266",0.0791999999999993,6.0472,1.88713857489614,0.064838116308575,0.123425996078473,-5.24859715171003
"2766588","PDS5A",0.144399999999999,8.9938,1.88687481253201,0.0648743363598329,0.123482622271021,-5.2490672874135
"2320347","FBXO44",0.0995999999999997,7.8006,1.88671454732606,0.0648963524941163,0.123512203948694,-5.24935291968902
"2676092","BAP1",0.112000000000002,8.336,1.88574328859104,0.0650299131646725,0.123741708082722,-5.25108349245652
"3672059","KIAA0513",0.158800000000001,7.3398,1.88554201696336,0.0650576198042642,0.123782082125089,-5.25144201811225
"3010030","RSBN1L",0.138,7.2042,1.88545828254014,0.0650691494657993,0.123790695116958,-5.25159116466041
"3672830","MAP1LC3B",-0.245199999999999,10.7754,-1.88541488771286,0.0650751253214957,0.123790695116958,-5.2516684566383
"2601230","SCG2",0.355200000000001,5.1908,1.8846950109686,0.065174326799487,0.123967041382692,-5.25295042775111
"3744410","KRABD2",-0.217599999999999,5.3188,-1.88411016923541,0.0652550145009561,0.12409576877881,-5.25399161268758
"3549551","IFI27L1",0.101600000000004,7.404,1.88365751515766,0.0653175231421808,0.124197254916837,-5.25479727321293
"3868400","NAPSA",0.1028,6.3186,1.88362944093501,0.0653214016869691,0.124197254916837,-5.25484723583772
"3740704","SMYD4",-0.0876000000000001,7.3222,-1.88353108614389,0.0653349912624106,0.124210712908286,-5.25502226901001
"3297666","DYDC1",0.1008,2.678,1.88307868714065,0.0653975296599878,0.124299787046467,-5.25582726054858
